 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.089015E+02eV    4.002056E+00Ha
 # Energy(eV)  |TotChi(-w,w,0)|   |Tot Chi(-w,w,0)|
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.008163   1.920258E+01   8.043559E+02
       0.016327   1.954524E+01   8.187092E+02
       0.024490   1.989687E+01   8.334380E+02
       0.032654   2.025778E+01   8.485559E+02
       0.040817   2.062832E+01   8.640772E+02
       0.048980   2.100886E+01   8.800170E+02
       0.057144   2.139976E+01   8.963909E+02
       0.065307   2.180141E+01   9.132154E+02
       0.073471   2.221424E+01   9.305079E+02
       0.081634   2.263867E+01   9.482866E+02
       0.089798   2.307517E+01   9.665704E+02
       0.097961   2.352421E+01   9.853797E+02
       0.106124   2.398629E+01   1.004735E+03
       0.114288   2.446195E+01   1.024660E+03
       0.122451   2.495175E+01   1.045177E+03
       0.130615   2.545628E+01   1.066310E+03
       0.138778   2.597616E+01   1.088087E+03
       0.146941   2.651205E+01   1.110534E+03
       0.155105   2.706464E+01   1.133681E+03
       0.163268   2.763467E+01   1.157558E+03
       0.171432   2.822291E+01   1.182199E+03
       0.179595   2.883019E+01   1.207636E+03
       0.187759   2.945738E+01   1.233908E+03
       0.195922   3.010540E+01   1.261052E+03
       0.204085   3.077523E+01   1.289110E+03
       0.212249   3.146792E+01   1.318125E+03
       0.220412   3.218456E+01   1.348144E+03
       0.228576   3.292635E+01   1.379216E+03
       0.236739   3.369454E+01   1.411394E+03
       0.244902   3.449046E+01   1.444733E+03
       0.253066   3.531554E+01   1.479294E+03
       0.261229   3.617132E+01   1.515141E+03
       0.269393   3.705941E+01   1.552341E+03
       0.277556   3.798158E+01   1.590969E+03
       0.285720   3.893968E+01   1.631102E+03
       0.293883   3.993575E+01   1.672825E+03
       0.302046   4.097192E+01   1.716228E+03
       0.310210   4.205054E+01   1.761409E+03
       0.318373   4.317409E+01   1.808472E+03
       0.326537   4.434528E+01   1.857531E+03
       0.334700   4.556703E+01   1.908707E+03
       0.342863   4.684250E+01   1.962134E+03
       0.351027   4.817508E+01   2.017953E+03
       0.359190   4.956851E+01   2.076321E+03
       0.367354   5.102680E+01   2.137406E+03
       0.375517   5.255434E+01   2.201391E+03
       0.383681   5.415592E+01   2.268478E+03
       0.391844   5.583675E+01   2.338884E+03
       0.400007   5.760256E+01   2.412850E+03
       0.408171   5.945962E+01   2.490639E+03
       0.416334   6.141481E+01   2.572538E+03
       0.424498   6.347573E+01   2.658865E+03
       0.432661   6.565073E+01   2.749971E+03
       0.440824   6.794909E+01   2.846245E+03
       0.448988   7.038107E+01   2.948115E+03
       0.457151   7.295807E+01   3.056060E+03
       0.465315   7.569280E+01   3.170612E+03
       0.473478   7.859946E+01   3.292367E+03
       0.481641   8.169396E+01   3.421989E+03
       0.489805   8.499417E+01   3.560228E+03
       0.497968   8.852022E+01   3.707926E+03
       0.506132   9.229487E+01   3.866039E+03
       0.514295   9.634393E+01   4.035645E+03
       0.522459   1.006967E+02   4.217975E+03
       0.530622   1.053868E+02   4.414432E+03
       0.538785   1.104525E+02   4.626623E+03
       0.546949   1.159379E+02   4.856394E+03
       0.555112   1.218938E+02   5.105875E+03
       0.563276   1.283791E+02   5.377531E+03
       0.571439   1.354620E+02   5.674220E+03
       0.579602   1.432221E+02   5.999274E+03
       0.587766   1.517522E+02   6.356582E+03
       0.595929   1.611610E+02   6.750694E+03
       0.604093   1.715756E+02   7.186940E+03
       0.612256   1.831451E+02   7.671565E+03
       0.620420   1.960439E+02   8.211868E+03
       0.628583   2.104745E+02   8.816336E+03
       0.636746   2.266701E+02   9.494737E+03
       0.644910   2.448943E+02   1.025811E+04
       0.653073   2.654349E+02   1.111851E+04
       0.661237   2.885881E+02   1.208835E+04
       0.669400   3.146214E+02   1.317883E+04
       0.677563   3.437009E+02   1.439691E+04
       0.685727   3.757573E+02   1.573969E+04
       0.693890   4.102548E+02   1.718471E+04
       0.702054   4.458283E+02   1.867481E+04
       0.710217   4.797899E+02   2.009739E+04
       0.718381   5.076351E+02   2.126377E+04
       0.726544   5.229515E+02   2.190534E+04
       0.734707   5.184268E+02   2.171581E+04
       0.742871   4.884459E+02   2.045997E+04
       0.751034   4.324241E+02   1.811334E+04
       0.759198   3.563644E+02   1.492736E+04
       0.767361   2.708385E+02   1.134486E+04
       0.775524   1.871042E+02   7.837401E+03
       0.783688   1.157948E+02   4.850399E+03
       0.791851   7.463247E+01   3.126197E+03
       0.800015   8.690541E+01   3.640285E+03
       0.808178   1.276717E+02   5.347900E+03
       0.816342   1.734823E+02   7.266808E+03
       0.824505   2.200600E+02   9.217850E+03
       0.832668   2.678622E+02   1.122019E+04
       0.840832   3.183889E+02   1.333664E+04
       0.848995   3.734307E+02   1.564223E+04
       0.857159   4.349072E+02   1.821735E+04
       0.865322   5.048240E+02   2.114602E+04
       0.873485   5.852004E+02   2.451282E+04
       0.881649   6.778693E+02   2.839452E+04
       0.889812   7.840212E+02   3.284100E+04
       0.897976   9.033299E+02   3.783860E+04
       0.906139   1.032523E+03   4.325023E+04
       0.914302   1.163515E+03   4.873720E+04
       0.922466   1.281945E+03   5.369800E+04
       0.930629   1.368058E+03   5.730508E+04
       0.938793   1.401999E+03   5.872679E+04
       0.946956   1.372662E+03   5.749791E+04
       0.955120   1.284240E+03   5.379412E+04
       0.963283   1.154478E+03   4.835864E+04
       0.971446   1.005983E+03   4.213853E+04
       0.979610   8.577639E+02   3.592993E+04
       0.987773   7.216212E+02   3.022720E+04
       0.995937   6.027815E+02   2.524925E+04
       1.004100   5.021337E+02   2.103333E+04
       1.012263   4.183087E+02   1.752207E+04
       1.020427   3.490553E+02   1.462120E+04
       1.028590   2.919855E+02   1.223066E+04
       1.036754   2.449125E+02   1.025887E+04
       1.044917   2.059674E+02   8.627544E+03
       1.053081   1.736084E+02   7.272094E+03
       1.061244   1.465870E+02   6.140222E+03
       1.069407   1.239006E+02   5.189936E+03
       1.077571   1.047465E+02   4.387612E+03
       1.085734   8.848150E+01   3.706304E+03
       1.093898   7.458857E+01   3.124359E+03
       1.102061   6.265127E+01   2.624330E+03
       1.110224   5.233443E+01   2.192179E+03
       1.118388   4.337180E+01   1.816754E+03
       1.126551   3.556189E+01   1.489613E+03
       1.134715   2.877700E+01   1.205408E+03
       1.142878   2.299752E+01   9.633177E+02
       1.151042   1.839514E+01   7.705338E+02
       1.159205   1.546160E+01   6.476541E+02
       1.167368   1.492243E+01   6.250692E+02
       1.175532   1.701717E+01   7.128136E+02
       1.183695   2.118959E+01   8.875874E+02
       1.191859   2.683891E+01   1.124226E+03
       1.200022   3.370039E+01   1.411639E+03
       1.208185   4.176426E+01   1.749417E+03
       1.216349   5.117071E+01   2.143434E+03
       1.224512   6.216003E+01   2.603753E+03
       1.232676   7.505584E+01   3.143932E+03
       1.240839   9.026259E+01   3.780911E+03
       1.249003   1.082660E+02   4.535036E+03
       1.257166   1.296261E+02   5.429766E+03
       1.265329   1.549477E+02   6.490435E+03
       1.273493   1.848030E+02   7.741010E+03
       1.281656   2.195664E+02   9.197175E+03
       1.289820   2.591119E+02   1.085365E+04
       1.297983   3.023439E+02   1.266455E+04
       1.306146   3.466384E+02   1.451995E+04
       1.314310   3.875163E+02   1.623225E+04
       1.322473   4.191399E+02   1.755689E+04
       1.330637   4.361034E+02   1.826746E+04
       1.338800   4.360859E+02   1.826673E+04
       1.346963   4.217644E+02   1.766683E+04
       1.355127   4.002434E+02   1.676536E+04
