 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.089015E+02eV    4.002056E+00Ha
 # Energy      Tot-Im Chi(-w,w,0)  Tot-Im Chi(-w,w,0)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.008163   2.255774E+00   9.448965E+01
       0.016327   2.314555E+00   9.695184E+01
       0.024490   2.375465E+00   9.950325E+01
       0.032654   2.438607E+00   1.021481E+02
       0.040817   2.504087E+00   1.048909E+02
       0.048980   2.572018E+00   1.077365E+02
       0.057144   2.642522E+00   1.106897E+02
       0.065307   2.715724E+00   1.137560E+02
       0.073471   2.791762E+00   1.169411E+02
       0.081634   2.870779E+00   1.202509E+02
       0.089798   2.952928E+00   1.236920E+02
       0.097961   3.038372E+00   1.272710E+02
       0.106124   3.127286E+00   1.309955E+02
       0.114288   3.219855E+00   1.348730E+02
       0.122451   3.316275E+00   1.389118E+02
       0.130615   3.416760E+00   1.431209E+02
       0.138778   3.521533E+00   1.475096E+02
       0.146941   3.630837E+00   1.520881E+02
       0.155105   3.744930E+00   1.568673E+02
       0.163268   3.864089E+00   1.618586E+02
       0.171432   3.988612E+00   1.670746E+02
       0.179595   4.118817E+00   1.725286E+02
       0.187759   4.255048E+00   1.782350E+02
       0.195922   4.397674E+00   1.842093E+02
       0.204085   4.547093E+00   1.904682E+02
       0.212249   4.703733E+00   1.970295E+02
       0.220412   4.868057E+00   2.039127E+02
       0.228576   5.040567E+00   2.111388E+02
       0.236739   5.221803E+00   2.187304E+02
       0.244902   5.412353E+00   2.267121E+02
       0.253066   5.612854E+00   2.351107E+02
       0.261229   5.823996E+00   2.439550E+02
       0.269393   6.046534E+00   2.532766E+02
       0.277556   6.281286E+00   2.631099E+02
       0.285720   6.529147E+00   2.734923E+02
       0.293883   6.791096E+00   2.844648E+02
       0.302046   7.068201E+00   2.960721E+02
       0.310210   7.361636E+00   3.083635E+02
       0.318373   7.672688E+00   3.213928E+02
       0.326537   8.002775E+00   3.352194E+02
       0.334700   8.353457E+00   3.499088E+02
       0.342863   8.726457E+00   3.655330E+02
       0.351027   9.123683E+00   3.821719E+02
       0.359190   9.547247E+00   3.999141E+02
       0.367354   9.999498E+00   4.188580E+02
       0.375517   1.048305E+01   4.391129E+02
       0.383681   1.100081E+01   4.608010E+02
       0.391844   1.155605E+01   4.840589E+02
       0.400007   1.215243E+01   5.090397E+02
       0.408171   1.279404E+01   5.359156E+02
       0.416334   1.348553E+01   5.648805E+02
       0.424498   1.423212E+01   5.961537E+02
       0.432661   1.503975E+01   6.299836E+02
       0.440824   1.591516E+01   6.666528E+02
       0.448988   1.686604E+01   7.064832E+02
       0.457151   1.790119E+01   7.498434E+02
       0.465315   1.903071E+01   7.971566E+02
       0.473478   2.026624E+01   8.489102E+02
       0.481641   2.162123E+01   9.056678E+02
       0.489805   2.311130E+01   9.680838E+02
       0.497968   2.475466E+01   1.036921E+03
       0.506132   2.657264E+01   1.113072E+03
       0.514295   2.859027E+01   1.197586E+03
       0.522459   3.083715E+01   1.291704E+03
       0.530622   3.334838E+01   1.396894E+03
       0.538785   3.616581E+01   1.514910E+03
       0.546949   3.933958E+01   1.647852E+03
       0.555112   4.293007E+01   1.798251E+03
       0.563276   4.701038E+01   1.969166E+03
       0.571439   5.166942E+01   2.164324E+03
       0.579602   5.701596E+01   2.388279E+03
       0.587766   6.318364E+01   2.646630E+03
       0.595929   7.033746E+01   2.946289E+03
       0.604093   7.868190E+01   3.295820E+03
       0.612256   8.847109E+01   3.705868E+03
       0.620420   1.000213E+02   4.189681E+03
       0.628583   1.137253E+02   4.763716E+03
       0.636746   1.300689E+02   5.448314E+03
       0.644910   1.496447E+02   6.268303E+03
       0.653073   1.731594E+02   7.253283E+03
       0.661237   2.014179E+02   8.436975E+03
       0.669400   2.352579E+02   9.854460E+03
       0.677563   2.753781E+02   1.153501E+04
       0.685727   3.219673E+02   1.348654E+04
       0.693890   3.739903E+02   1.566567E+04
       0.702054   4.279831E+02   1.792731E+04
       0.710217   4.763995E+02   1.995538E+04
       0.718381   5.062393E+02   2.120530E+04
       0.726544   5.000660E+02   2.094671E+04
       0.734707   4.424961E+02   1.853523E+04
       0.742871   3.322317E+02   1.391649E+04
       0.751034   1.908541E+02   7.994478E+03
       0.759198   5.558843E+01   2.328483E+03
       0.767361  -4.173481E+01  -1.748184E+03
       0.775524  -8.976546E+01  -3.760087E+03
       0.783688  -9.543255E+01  -3.997469E+03
       0.791851  -7.280472E+01  -3.049637E+03
       0.800015  -3.448560E+01  -1.444529E+03
       0.808178   1.139923E+01   4.774898E+02
       0.816342   6.085465E+01   2.549073E+03
       0.824505   1.127189E+02   4.721557E+03
       0.832668   1.675308E+02   7.017514E+03
       0.840832   2.267991E+02   9.500137E+03
       0.848995   2.925790E+02   1.225552E+04
       0.857159   3.671909E+02   1.538086E+04
       0.865322   4.529005E+02   1.897105E+04
       0.873485   5.513443E+02   2.309465E+04
       0.881649   6.623997E+02   2.774654E+04
       0.889812   7.821038E+02   3.276069E+04
       0.897976   8.992880E+02   3.766929E+04
       0.906139   9.913157E+02   4.152414E+04
       0.914302   1.021507E+03   4.278878E+04
       0.922466   9.446091E+02   3.956769E+04
       0.930629   7.278220E+02   3.048694E+04
       0.938793   3.831591E+02   1.604973E+04
       0.946956  -1.731589E+01  -7.253264E+02
       0.955120  -3.725923E+02  -1.560711E+04
       0.963283  -6.104290E+02  -2.556959E+04
       0.971446  -7.171144E+02  -3.003842E+04
       0.979610  -7.220672E+02  -3.024588E+04
       0.987773  -6.668438E+02  -2.793269E+04
       0.995937  -5.853902E+02  -2.452077E+04
       1.004100  -4.989336E+02  -2.089928E+04
       1.012263  -4.183027E+02  -1.752182E+04
       1.020427  -3.477898E+02  -1.456818E+04
       1.028590  -2.881978E+02  -1.207200E+04
       1.036754  -2.387288E+02  -9.999850E+03
       1.044917  -1.980042E+02  -8.293980E+03
       1.053081  -1.645588E+02  -6.893021E+03
       1.061244  -1.370520E+02  -5.740821E+03
       1.069407  -1.143375E+02  -4.789358E+03
       1.077571  -9.546788E+01  -3.998949E+03
       1.085734  -7.967381E+01  -3.337369E+03
       1.093898  -6.633509E+01  -2.778638E+03
       1.102061  -5.495225E+01  -2.301834E+03
       1.110224  -4.512135E+01  -1.890039E+03
       1.118388  -3.651289E+01  -1.529448E+03
       1.126551  -2.885449E+01  -1.208654E+03
       1.134715  -2.191680E+01  -9.180489E+02
       1.142878  -1.550193E+01  -6.493431E+02
       1.151042  -9.433666E+00  -3.951565E+02
       1.159205  -3.549115E+00  -1.486650E+02
       1.167368   2.309036E+00   9.672065E+01
       1.175532   8.299877E+00   3.476644E+02
       1.183695   1.459181E+01   6.112202E+02
       1.191859   2.137059E+01   8.951693E+02
