 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    2.000000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.089015E+02eV    4.002056E+00Ha
 # Energy      Tot-Re Chi(-w,w,0)  Tot-Re Chi(-w,w,0)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.008163   1.906963E+01   7.987867E+02
       0.016327   1.940771E+01   8.129484E+02
       0.024490   1.975456E+01   8.274769E+02
       0.032654   2.011047E+01   8.423852E+02
       0.040817   2.047577E+01   8.576872E+02
       0.048980   2.085082E+01   8.733972E+02
       0.057144   2.123598E+01   8.895304E+02
       0.065307   2.163161E+01   9.061026E+02
       0.073471   2.203812E+01   9.231304E+02
       0.081634   2.245592E+01   9.406312E+02
       0.089798   2.288545E+01   9.586234E+02
       0.097961   2.332716E+01   9.771260E+02
       0.106124   2.378155E+01   9.961593E+02
       0.114288   2.424912E+01   1.015745E+03
       0.122451   2.473039E+01   1.035904E+03
       0.130615   2.522594E+01   1.056662E+03
       0.138778   2.573635E+01   1.078042E+03
       0.146941   2.626225E+01   1.100071E+03
       0.155105   2.680430E+01   1.122776E+03
       0.163268   2.736318E+01   1.146186E+03
       0.171432   2.793965E+01   1.170333E+03
       0.179595   2.853446E+01   1.195249E+03
       0.187759   2.914844E+01   1.220967E+03
       0.195922   2.978247E+01   1.247525E+03
       0.204085   3.043746E+01   1.274961E+03
       0.212249   3.111438E+01   1.303316E+03
       0.220412   3.181428E+01   1.332633E+03
       0.228576   3.253825E+01   1.362959E+03
       0.236739   3.328746E+01   1.394342E+03
       0.244902   3.406315E+01   1.426834E+03
       0.253066   3.486665E+01   1.460491E+03
       0.261229   3.569937E+01   1.495372E+03
       0.269393   3.656281E+01   1.531540E+03
       0.277556   3.745858E+01   1.569062E+03
       0.285720   3.838840E+01   1.608010E+03
       0.293883   3.935410E+01   1.648461E+03
       0.302046   4.035764E+01   1.690497E+03
       0.310210   4.140113E+01   1.734207E+03
       0.318373   4.248684E+01   1.779685E+03
       0.326537   4.361720E+01   1.827033E+03
       0.334700   4.479480E+01   1.876360E+03
       0.342863   4.602248E+01   1.927785E+03
       0.351027   4.730325E+01   1.981434E+03
       0.359190   4.864039E+01   2.037444E+03
       0.367354   5.003743E+01   2.095963E+03
       0.375517   5.149820E+01   2.157152E+03
       0.383681   5.302684E+01   2.221183E+03
       0.391844   5.462784E+01   2.288245E+03
       0.400007   5.630607E+01   2.358543E+03
       0.408171   5.806685E+01   2.432298E+03
       0.416334   5.991594E+01   2.509753E+03
       0.424498   6.185963E+01   2.591170E+03
       0.432661   6.390481E+01   2.676838E+03
       0.440824   6.605896E+01   2.767071E+03
       0.448988   6.833031E+01   2.862213E+03
       0.457151   7.072784E+01   2.962641E+03
       0.465315   7.326139E+01   3.068766E+03
       0.473478   7.594179E+01   3.181042E+03
       0.481641   7.878087E+01   3.299966E+03
       0.489805   8.179167E+01   3.426081E+03
       0.497968   8.498845E+01   3.559988E+03
       0.506132   8.838687E+01   3.702341E+03
       0.514295   9.200407E+01   3.853858E+03
       0.522459   9.585877E+01   4.015323E+03
       0.530622   9.997131E+01   4.187589E+03
       0.538785   1.043637E+02   4.371577E+03
       0.546949   1.090596E+02   4.568276E+03
       0.555112   1.140838E+02   4.778730E+03
       0.563276   1.194622E+02   5.004020E+03
       0.571439   1.252207E+02   5.245234E+03
       0.579602   1.313840E+02   5.503401E+03
       0.587766   1.379731E+02   5.779402E+03
       0.595929   1.450017E+02   6.073817E+03
       0.604093   1.524708E+02   6.386680E+03
       0.612256   1.603590E+02   6.717102E+03
       0.620420   1.686089E+02   7.062673E+03
       0.628583   1.771047E+02   7.418544E+03
       0.636746   1.856379E+02   7.775983E+03
       0.644910   1.938547E+02   8.120167E+03
       0.653073   2.011753E+02   8.426811E+03
       0.661237   2.066734E+02   8.657114E+03
       0.669400   2.089027E+02   8.750494E+03
       0.677563   2.056629E+02   8.614786E+03
       0.685727   1.937281E+02   8.114865E+03
       0.693890   1.686423E+02   7.064074E+03
       0.702054   1.248733E+02   5.230680E+03
       0.710217   5.693719E+01   2.384980E+03
       0.718381  -3.761814E+01  -1.575745E+03
       0.726544  -1.530109E+02  -6.409307E+03
       0.734707  -2.701178E+02  -1.131467E+04
       0.742871  -3.580524E+02  -1.499806E+04
       0.751034  -3.880275E+02  -1.625366E+04
       0.759198  -3.520022E+02  -1.474463E+04
       0.767361  -2.676036E+02  -1.120935E+04
       0.775524  -1.641650E+02  -6.876526E+03
       0.783688  -6.558241E+01  -2.747110E+03
       0.791851   1.641577E+01   6.876222E+02
       0.800015   7.977026E+01   3.341409E+03
       0.808178   1.271618E+02   5.326541E+03
       0.816342   1.624586E+02   6.805051E+03
       0.824505   1.889996E+02   7.916796E+03
       0.832668   2.090062E+02   8.754831E+03
       0.840832   2.234584E+02   9.360202E+03
       0.848995   2.320517E+02   9.720159E+03
       0.857159   2.330561E+02   9.762229E+03
       0.865322   2.229985E+02   9.340939E+03
       0.873485   1.961605E+02   8.216754E+03
       0.881649   1.439909E+02   6.031475E+03
       0.889812   5.479754E+01   2.295354E+03
       0.897976  -8.535881E+01  -3.575501E+03
       0.906139  -2.887858E+02  -1.209663E+04
       0.914302  -5.570374E+02  -2.333313E+04
       0.922466  -8.666586E+02  -3.630251E+04
       0.930629  -1.158386E+03  -4.852236E+04
       0.938793  -1.348625E+03  -5.649108E+04
       0.946956  -1.372552E+03  -5.749334E+04
       0.955120  -1.229003E+03  -5.148034E+04
       0.963283  -9.798953E+02  -4.104576E+04
       0.971446  -7.055137E+02  -2.955249E+04
       0.979610  -4.630096E+02  -1.939450E+04
       0.987773  -2.757835E+02  -1.155199E+04
       0.995937  -1.437492E+02  -6.021354E+03
       1.004100  -5.659952E+01  -2.370835E+03
       1.012263  -2.226491E+00  -9.326305E+01
       1.020427   2.969673E+01   1.243934E+03
       1.028590   4.687842E+01   1.963639E+03
       1.036754   5.468728E+01   2.290735E+03
       1.044917   5.671793E+01   2.375795E+03
       1.053081   5.532004E+01   2.317240E+03
       1.061244   5.200477E+01   2.178371E+03
       1.069407   4.773149E+01   1.999372E+03
       1.077571   4.310126E+01   1.805421E+03
       1.085734   3.848455E+01   1.612037E+03
       1.093898   3.410441E+01   1.428562E+03
       1.102061   3.009039E+01   1.260423E+03
       1.110224   2.651333E+01   1.110588E+03
       1.118388   2.340773E+01   9.805009E+02
       1.126551   2.078621E+01   8.706908E+02
       1.134715   1.864858E+01   7.811497E+02
       1.142878   1.698753E+01   7.115719E+02
       1.151042   1.579199E+01   6.614935E+02
       1.159205   1.504875E+01   6.303607E+02
       1.167368   1.474270E+01   6.175408E+02
       1.175532   1.485584E+01   6.222802E+02
       1.183695   1.536483E+01   6.436003E+02
       1.191859   1.623654E+01   6.801144E+02
       1.200022   1.742101E+01   7.297296E+02
       1.208185   1.884022E+01   7.891775E+02
       1.216349   2.037068E+01   8.532852E+02
       1.224512   2.181655E+01   9.138497E+02
       1.232676   2.286853E+01   9.579149E+02
       1.240839   2.304179E+01   9.651724E+02
       1.249003   2.158476E+01   9.041405E+02
       1.257166   1.735143E+01   7.268152E+02
       1.265329   8.639207E+00   3.618782E+02
       1.273493  -6.974697E+00  -2.921554E+02
       1.281656  -3.268790E+01  -1.369227E+03
       1.289820  -7.215698E+01  -3.022504E+03
       1.297983  -1.283528E+02  -5.376429E+03
       1.306146  -2.011357E+02  -8.425151E+03
       1.314310  -2.839404E+02  -1.189367E+04
       1.322473  -3.620708E+02  -1.516638E+04
       1.330637  -4.166509E+02  -1.745263E+04
       1.338800  -4.347923E+02  -1.821254E+04
       1.346963  -4.183750E+02  -1.752485E+04
